time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
0,0,0,0,0,0,0,0
0.1,27.1803,27.1803,1.0976854732435e-10,1.7213896974511e-11,0.00037041824707124,5.8089123881425e-05,519.17428887544
0.2,27.3612,27.3612,1.1029475394663e-10,1.7270296304162e-11,0.00037343157610728,5.8472984232338e-05,2081.2159999283
0.3,27.5427,27.5427,1.1082284702423e-10,1.7300827437339e-11,0.00037646166062524,5.8770214620788e-05,4692.894868533
0.4,27.7248,27.7248,1.1144011632068e-10,1.7305490374042e-11,0.00037980706534426,5.8980068236754e-05,8360.9693452194
0.5,27.9075,27.9075,1.1204173248568e-10,1.7285395337296e-11,0.00038311432908792,5.9105532320321e-05,13092.186707186
0.6,28.0908,28.0908,1.1270514971694e-10,1.7242207661639e-11,0.00038664599946497,5.9151087731616e-05,18893.283168325
0.7,28.2747,28.2747,1.1342965665793e-10,1.7493451132111e-11,0.00039040429212184,6.0209317531701e-05,25770.983987819
0.8,28.4592,28.4592,1.1430751646244e-10,1.8009593816259e-11,0.00039470703024491,6.2187617277942e-05,33732.003577321
0.9,28.6443,28.6443,1.1521209156338e-10,1.8519852318377e-11,0.00039912190954075,6.4156955303929e-05,42783.04560672
1,28.83,28.83,1.1639515057946e-10,1.9025447883791e-11,0.00040452476694462,6.6121812469788e-05,52930.80310856
1.1,29.0163,29.0163,1.178130005027e-10,1.9520052241262e-11,0.00041077367574103,6.8059784474883e-05,64181.958581086
1.2,29.2032,29.2032,1.1931049353284e-10,2.0005774814535e-11,0.00041733164336004,6.9977592609405e-05,76543.184089977
1.3,29.3907,29.3907,1.2097804352648e-10,2.048072822447e-11,0.00042452182085246,7.1868515583162e-05,90021.141368759
1.4,29.5788,29.5788,1.2265656213203e-10,2.0943802248041e-11,0.00043178626259266,7.3728072536028e-05,104622.48191794
1.5,29.7675,29.7675,1.244085946361e-10,2.1394996885249e-11,0.00043934924374373,7.5556263468002e-05,120353.84710289
1.6,29.9568,29.9568,1.2625886746372e-10,2.1832535779254e-11,0.00044729835067824,7.7346367088893e-05,137221.86825042
1.7,30.1467,30.1467,1.2810904936302e-10,2.2258972443012e-11,0.0004552901241631,7.9106598308935e-05,155233.16674423
1.8,30.3372,30.3372,1.2992613205306e-10,2.2668644739099e-11,0.00046320357791558,8.0816793257554e-05,174394.35411906
1.9,30.5283,30.5283,1.3171672992808e-10,2.3064328225075e-11,0.00047106466319295,8.2485913655006e-05,194712.0321537
2,30.72,30.72,1.3365013440843e-10,2.3445800856337e-11,0.00047947731273128,8.4113212691269e-05,216192.79296284
