time,J_F_int,J_Fbar_int,ep_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int,psip_active_int
0,0,0,0,0,0,0,0,0,0
0.1,27.018003,27.018003,0,2.1696717984892e-11,4.3565151486291e-12,7.2996782860423e-05,1.4657640286705e-05,5.1815673385054,0
0.2,27.072048,27.072048,0,3.202493777219e-11,6.166400723373e-12,0.00010785384212819,2.0767293070397e-05,82.959360774881,0
0.3,27.162243,27.162243,0,5.4841398199734e-11,1.0436762565291e-11,0.0001850032381275,3.5207611640923e-05,420.43962498175,0
0.4,27.288768,27.288768,0,7.9240575622339e-11,1.4877765686094e-11,0.00026793338022914,5.0305869840154e-05,1330.8217077932,0
0.5,27.451875,27.451875,0.021665867681548,1.5339444246463e-09,3.0740343603952e-10,0.0052021594295009,0.0010425161704279,3232.8765562021,1.8229228312437
0.6,27.651888,27.651888,0.081680239995579,1.2408595007917e-09,2.6809021669294e-10,0.0042235055720779,0.00091249654573152,6659.5071881981,7.0813220014801
0.7,27.889203,27.889203,0.15717614316605,1.2126399972325e-09,2.5173729767403e-10,0.0041451282344731,0.00086050512567345,12317.529278861,13.880840463818
0.8,28.164288,28.164288,0.24602446885018,2.0229920126785e-09,4.907987349867e-10,0.0069491482162375,0.0016859348250797,21033.529221848,22.039947165759
0.9,28.477683,28.477683,0.34802981882835,3.2565764645079e-09,8.4283646728522e-10,0.0112486822051,0.0029112783036152,33773.097023783,31.555064871665
1,28.83,28.83,0.46325298945174,5.0944675705086e-09,1.4579806251191e-09,0.017705539437082,0.0050671306387843,51648.326685879,42.448092819427
1.1,29.2032,29.2032,0.58576269215455,7.3741037872356e-09,2.1772577074586e-09,0.025793631785494,0.0076157572492796,74660.078063988,54.164993337415
1.2,29.5788,29.5788,0.70937205073935,9.7019882001995e-09,2.9116196120782e-09,0.034153800737297,0.010249742004772,102027.25936247,66.104150715531
1.3,29.9568,29.9568,0.83391826662783,1.2111183571201e-08,3.667404380181e-09,0.042906424170115,0.012992554156988,133802.75497027,78.235491952976
1.4,30.3372,30.3372,0.95935435725831,1.4720724539009e-08,4.5253225611219e-09,0.052481346380534,0.016133377963209,170039.16991289,90.543753831165
1.5,30.72,30.72,1.0856484447056,1.7543207126591e-08,5.5756568251297e-09,0.062937229695367,0.020002978569078,210788.94066353,103.01756531406
1.6,31.1052,31.1052,1.2127768227468,2.0567239350233e-08,6.7492007538306e-09,0.074247277219994,0.024364464848621,256104.34501015,115.6480181152
1.7,31.4928,31.4928,1.3407209614698,2.3830072864971e-08,8.0888538089852e-09,0.086560356765024,0.029381952784864,306037.50782833,128.42790708511
1.8,31.8828,31.8828,1.4694657935871,2.7424114675016e-08,9.5645902309371e-09,0.10023026333261,0.034956876897585,360640.40551808,141.35125731896
1.9,32.2752,32.2752,1.598998667409,3.1362623433805e-08,1.1198997951212e-08,0.11532803266218,0.041181453288204,419964.86971398,154.41301319008
2,32.67,32.67,1.7293086759465,3.5767182766739e-08,1.299619345474e-08,0.13232665384935,0.048081583568689,484062.59055764,167.60882515059
