time,J_F_int,J_Fbar_int,ep_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int,psip_active_int
0,0,0,0,0,0,0,0,0,0
0.1,27.000359999231,27.000359999231,0,1.3652749072977e-10,2.9250379895984e-11,0.00045918849518131,9.8379524526848e-05,0.30263433607121,0
0.2,27.001439988426,27.001439988426,0,2.191689649934e-09,5.2202642208954e-10,0.0073715795594671,0.0017557959153258,4.8390016685564,0
0.3,27.00323994632,27.00323994632,0,6.3585669262236e-09,2.0699018055126e-09,0.02138726312241,0.0069621872060092,24.470958093604,0
0.4,27.00511448393,27.00511448393,0.016135860419268,4.0395198972642e-13,7.194245199571e-14,1.3586251921132e-06,2.419664468789e-07,60.911157314098,1.350426275856
0.5,27.00545819579,27.00545819579,0.088498223417697,5.0455496345614e-13,8.7041485130612e-14,1.6969865270908e-06,2.9274952832263e-07,69.359023114972,7.6912320728512
0.6,27.005620886835,27.005620886835,0.18311314978944,4.270470778553e-13,8.0380146982861e-14,1.4363016718533e-06,2.7034522768569e-07,73.548284946618,16.256924113063
0.7,27.005745337265,27.005745337265,0.29622074788522,2.9730922974262e-13,6.5947247662734e-14,9.9995004270102e-07,2.2180257630566e-07,76.835493076574,26.727650934777
0.8,27.005851006855,27.005851006855,0.42712054840007,1.1214275704711e-12,1.6719958750855e-13,3.7717347286844e-06,5.6234794598708e-07,79.682845445713,39.063790681584
0.9,27.005944718231,27.005944718231,0.57539764096104,1.1921076985225e-12,2.0361490271625e-13,4.0094555593638e-06,6.84824789469e-07,82.25116173409,53.252972128111
1,27.006029887459,27.006029887459,0.74069271440485,1.655201286929e-12,3.8347103270553e-13,5.5669936617045e-06,1.2897409066663e-06,84.620575356589,69.286816638369
1.1,27.006101805929,27.006101805929,0.91406386805193,2.280220598144e-12,3.9590553058133e-13,7.6691419450909e-06,1.3315622678552e-06,86.64745719554,86.307632726494
1.2,27.006160614672,27.006160614672,1.0866515799885,2.5994408074387e-12,6.7967853567552e-13,8.7427859156855e-06,2.2859854749887e-06,88.322629141284,103.42892317526
1.3,27.006212491754,27.006212491754,1.258313503352,3.1759670679503e-12,8.6552986999777e-13,1.0681835905206e-05,2.9110654627592e-06,89.813617163668,120.61266509053
1.4,27.006259056876,27.006259056876,1.4290219494149,4.379959920277e-12,1.0726974863928e-12,1.4731457337676e-05,3.6085860225891e-06,91.162524008993,137.83776343648
1.5,27.006301385712,27.006301385712,1.598762844996,3.9098708807141e-12,1.0194067812108e-12,1.3150295131783e-05,3.4293516174936e-06,92.397404399734,155.08828251936
1.6,27.0063402459,27.0063402459,1.767529747157,5.4160984310974e-12,9.021672298104e-13,1.8216432599075e-05,3.0342891162623e-06,93.538378887527,172.35172889992
1.7,27.006376206378,27.006376206378,1.9353210632933,4.8527371199349e-12,8.7396756498492e-13,1.6321622294811e-05,2.939444243566e-06,94.600428614936,189.61806325421
1.8,27.00640970162,27.00640970162,2.1021384172058,4.4015236399086e-12,8.675282714421e-13,1.4803925673336e-05,2.9177867529503e-06,95.5950428991,206.87906293719
1.9,27.006441071626,27.006441071626,2.2679856321336,4.3873346878242e-12,8.2134299361769e-13,1.475628035382e-05,2.7624502685342e-06,96.531248640966,224.12789066613
2,27.006470587934,27.006470587934,2.432868069788,4.4006863576266e-12,8.3155704544424e-13,1.4801167256048e-05,2.7968035295108e-06,97.416282227863,241.35879146462
