time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
0,0,0,0,0,0,0,0
0.1,27.011156412126,27.011125415683,0.022120193877341,0.005452817487806,74412.497511467,18343.95971365,50.955729569873
0.2,27.022360314347,27.022236007514,0.044215363813839,0.010957636129819,148770.55443829,36871.580573359,203.25045455955
0.3,27.033613041433,27.033332625007,0.066285291619591,0.016513186165006,223073.28982186,55578.785723371,456.03786838049
0.4,27.044915917784,27.044416102884,0.088329769916161,0.022118177720782,297319.86467578,74461.428640525,808.48787886783
0.5,27.056270257223,27.055487261427,0.11034860188113,0.027771302167718,371509.4809844,93515.297550727,1259.7862363274
0.6,27.067677362778,27.066546906816,0.13234160102438,0.033471233475986,445641.38081152,112736.11985532,1809.134171444
0.7,27.079138526467,27.07759583147,0.15430859099031,0.039216629568726,519714.84549979,132119.56655136,2455.7480428439
0.8,27.090655029086,27.088634814379,0.17625658496522,0.045006133669594,593753.3772656,151661.2566366,3198.8589941265
0.9,27.102228139999,27.099664621433,0.19818211681916,0.050838375640627,667745.19778499,171356.76148655,4037.7126201364
1,27.113859116931,27.110686005743,0.22008338353023,0.056711973307365,741684.12914191,191201.60919309,4971.5686423157
1.1,27.125549205771,27.121699707962,0.24196023166372,0.062625533768172,815569.55317081,211191.28885465,5999.7005928977
1.2,27.137299640371,27.132706456596,0.26381251608993,0.068577654685069,889400.88415742,231321.25480886,7121.3955077638
1.3,27.149111642361,27.143706968314,0.28564009993011,0.074566925553034,963177.56854041,251586.93079746,8335.9536277445
1.4,27.160986420961,27.154701948245,0.30744285450719,0.08059192894602,1036899.0846332,271983.71405763,9642.6881081654
1.5,27.172925172807,27.16569209028,0.32922065929752,0.086651241736824,1110564.9423529,292506.97932989,11040.924736426
1.6,27.18492908178,27.176678077356,0.35097340188116,0.092743436289196,1184174.6829477,313152.08277738,12530.0016574
1.7,27.19699931884,27.187660581749,0.37270097788703,0.09886708162,1257727.8787112,333914.36580889,14109.269106456
1.8,27.209137041871,27.198640265341,0.39440329093061,0.10502074453019,1331224.1326743,354789.1588014,15778.089149857
1.9,27.221343395526,27.209617779899,0.4160802525415,0.11120299070265,1404663.0782667,375771.78471565,17535.83543237
2,27.233619511082,27.220593767337,0.43773178207762,0.11741238576603,1478044.3789365,396857.56260137,19381.892931798
