time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
0,0,0,0,0,0,0,0
0.1,27.003600093823,27.003600093823,1.2981918296498e-13,3.9968028886506e-14,4.3662518537221e-07,1.3442580382161e-07,30.204532329501
0.2,27.007200427039,27.007200427039,1.4248413489755e-13,4.2188474935756e-14,4.792216403721e-07,1.4189390403393e-07,120.55799898625
0.3,27.010801076507,27.010801076507,1.5158418021818e-13,4.1078251911131e-14,5.0982812613381e-07,1.3815985392777e-07,270.67408183834
0.4,27.014402118081,27.014402118081,1.5593240503589e-13,3.9968028886506e-14,5.2445265560404e-07,1.3442580382161e-07,480.17156525731
0.5,27.018003626627,27.018003626627,1.5550433683428e-13,3.7303493627405e-14,5.2301291955262e-07,1.2546408356684e-07,748.674253303
0.6,27.02160567604,27.02160567604,1.5366594144356e-13,3.530509218308e-14,5.1682978305517e-07,1.1874279337576e-07,1075.810888518
0.7,27.025208339256,27.025208339256,1.5017168538506e-13,3.397282455353e-14,5.0507743517843e-07,1.1426193324837e-07,1461.2150723014
0.8,27.028811688272,27.028811688272,1.4443116155292e-13,3.3306690738755e-14,4.8577014002298e-07,1.1202150318468e-07,1904.525186835
0.9,27.032415794158,27.032415794158,1.3375639086271e-13,2.9976021664879e-14,4.498673279349e-07,1.0081935286621e-07,2405.3843184709
1,27.036020727076,27.036020727076,1.174787419548e-13,2.6645352591004e-14,3.9512016877464e-07,8.9617202547743e-08,2963.4401826604
1.1,27.039626556287,27.039626556287,2.7386520598421e-13,5.5955240441108e-14,9.2109997612688e-07,1.8819612535026e-07,3578.345050247
1.2,27.043233350172,27.043233350172,1.7826343438189e-13,3.3306690738755e-14,5.9955935097108e-07,1.1202150318468e-07,4249.7556752207
1.3,27.046841176245,27.046841176245,1.8172738989994e-13,3.5083047578155e-14,6.1120978803013e-07,1.1799598335453e-07,4977.3332238005
1.4,27.050450101165,27.050450101165,1.8589786997374e-13,3.619327060278e-14,6.2523650267835e-07,1.2173003346068e-07,5760.74320491
1.5,27.054060190747,27.054060190747,1.8910291441887e-13,3.397282455353e-14,6.3601613549545e-07,1.1426193324837e-07,6599.6554019322
1.6,27.057671509983,27.057671509983,1.8563420495006e-13,3.397282455353e-14,6.2434970931537e-07,1.1426193324837e-07,7493.7438057586
1.7,27.061284123047,27.061284123047,1.8068117215961e-13,3.3306690738755e-14,6.0769100903015e-07,1.1202150318468e-07,8442.6865490957
1.8,27.064898093312,27.064898093312,1.7465948548986e-13,3.264055692398e-14,5.8743806953089e-07,1.0978107312098e-07,9446.1658420168
1.9,27.068513483361,27.068513483361,1.6843393518994e-13,3.0642155479654e-14,5.6649946868884e-07,1.030597829299e-07,10503.867908694
2,27.072130355,27.072130355,1.1458201270011e-13,2.7533531010704e-14,3.8537750271471e-07,9.2604442632667e-08,11615.482925312
