time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
0,0,0,0,0,0,0,0
0.1,27.010667008042,27.010658271914,0.011877848251651,0.0027095760107961,19979.959712022,4558.9391871249,1.9894370095021
0.2,27.037592964134,27.03745338632,0.04941585265998,0.0098442392932078,83168.882183466,16578.800891022,23.970668272015
0.3,27.071068831126,27.070463579708,0.10755641246135,0.017823791498891,181126.33227384,30042.06532625,93.421807752936
0.4,27.101891568541,27.100529082214,0.16490427158364,0.022369864221583,277836.98675797,37666.605397678,226.27004157145
0.5,27.128157313686,27.126056349573,0.20405647629414,0.031371884675097,343935.23793548,52840.215849036,436.83834904041
0.6,27.151408437508,27.14890908618,0.22038780094047,0.036586404873672,371590.70297676,61642.717138229,752.12025325025
0.7,27.173703615248,27.171220130074,0.2179981258538,0.037635846840346,367704.47170751,63436.208358645,1225.8168299671
0.8,27.196153423703,27.193788350241,0.20928791831399,0.041774978190821,353166.87393959,70485.880124582,1940.725419031
0.9,27.219254640856,27.21670688717,0.21226004184553,0.052035053699782,358340.15034412,87845.625153188,2990.9420575847
1,27.24460974497,27.241340364401,0.23196138218581,0.062310139322869,391798.97824506,105259.50127549,4473.0681707953
1.1,27.264689540674,27.260369636689,0.26362576172772,0.070055411973737,445458.92160742,118422.02476518,6396.221439252
1.2,27.278262869813,27.2730372793,0.28749407913949,0.074235052084133,485909.74591336,125579.46412074,8720.1553302272
1.3,27.299206016672,27.293144969653,0.3038855034586,0.078262865929702,513799.67049116,132520.09486635,11436.141947403
1.4,27.337009743634,27.329509809114,0.32932663689737,0.086635754211665,557170.40440447,146849.04491821,14538.529835835
1.5,27.3884377415,27.378418572451,0.37025646833028,0.099357762279628,626928.40046219,168590.2444131,18014.945267216
1.6,27.4444559673,27.431010200633,0.42303473916095,0.11302420735146,716898.57490642,192001.35331208,21840.79098769
1.7,27.498163513476,27.48086867161,0.48136229795232,0.12567076351149,816384.25943693,213726.75894238,25979.938953492
1.8,27.548776851627,27.527654107886,0.53855442684604,0.1378584531648,914080.21270497,234693.6787462,30415.079407364
1.9,27.599467119036,27.574912335667,0.590267836167,0.1510256258072,1002697.9548206,257362.05412027,35154.482719919
2,27.652467321826,27.624896707772,0.63167714515698,0.16622778882741,1074047.1136849,283541.3573003,40215.148706825
