time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
0,0,0,0,0,0,0,0
0.1,27.079141756868,27.07912977363,0.013624990214334,0.0033827702163578,4589.1260813021,1139.5901381291,40.580372238846
0.2,27.158328853159,27.158280834568,0.027242368074887,0.0067785369079075,9188.8363375978,2287.2739274076,162.1284802371
0.3,27.237563254539,27.237455019499,0.040851989146114,0.010186933733061,13799.036397328,3442.9562232111,364.35822739486
0.4,27.316846905067,27.316654142896,0.054453709520419,0.013607590172606,18419.632889982,4606.539898804,646.98803481131
0.5,27.396181726921,27.395879996868,0.068047384917399,0.017040131935642,23050.53312126,5777.9259622976,1009.7407941442
0.6,27.475569619736,27.475134350608,0.081632871122175,0.020484181355135,27691.64519966,6957.0136715195,1452.3438203448
0.7,27.555012460966,27.554418950876,0.095210023804846,0.023939357730887,32342.877954619,8143.7006321105,1974.5288043144
0.8,27.634512105765,27.633735521992,0.10877869865468,0.027405277693581,37004.14096122,9337.8829039784,2576.0317655205
0.9,27.714070386982,27.713085765946,0.12233875144969,0.030881555558397,41675.3445435,10539.455105362,3256.5930046146
1,27.793689115247,27.792471362589,0.13589003807496,0.03436780367442,46356.399760785,11748.310516592,4015.9570560927
1.1,27.873370078608,27.871893969375,0.14943241488961,0.037863632761086,51047.218512787,12964.341180834,4853.8726410103
1.2,27.953115043372,27.951355222319,0.16296573817966,0.041368652222636,55747.713334815,14187.43799771,5770.0926198311
1.3,28.03292575331,28.030856735287,0.17648986491608,0.044882470513376,60457.797636658,15417.490836522,6764.3739454158
1.4,28.112803930194,28.110400100649,0.19000465243859,0.048404695436483,65177.385577099,16654.388626966,7836.4776161751
1.5,28.192751273736,28.1899868893,0.20350995865819,0.051934934448578,69906.392115078,17898.019453329,8986.1686294222
1.6,28.272769461918,28.269618651102,0.2170056419137,0.055472794960624,74644.732943543,19148.270648248,10213.215934973
1.7,28.352860150231,28.349296914181,0.23049156182533,0.059017884674338,79392.324763895,20405.028900472,11517.392388998
1.8,28.433024973042,28.429023186422,0.2439675782652,0.062569811795614,84149.084918658,21668.180320038,12898.474708142
1.9,28.513265542916,28.508798954854,0.25743355212081,0.066128185369785,88914.931636012,22937.610547678,14356.243423985
2,28.593583450924,28.588625686039,0.27088934523936,0.069692615531835,93689.783995651,24213.204835369,15890.482837808
