time,J_F_int,J_Fbar_int,ep_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int,psip_active_int
0,0,0,0,0,0,0,0,0,0
0.1,27.010666950592,27.010658213676,0,0.01187827011216,0.0027097280571492,19980.669347701,4559.1950100171,1.9894507648647,0
0.2,27.03759010851,27.037450074167,9.266862104979e-05,0.049471098188721,0.0098764796664722,83261.898746887,16633.062474634,23.900077564138,0.0077185230431292
0.3,27.069807977903,27.069148454432,0.011063270381799,0.1117178037815,0.019029880968126,188129.09171883,32073.936357059,81.855510951996,0.94603887000056
0.4,27.092243576487,27.090327663991,0.07046358564154,0.19389087948054,0.030532472215901,326605.32662917,51392.571822129,133.38883390081,6.1878349192972
0.5,27.097994083726,27.09341496081,0.17939711476287,0.29663071469785,0.049529449425791,499658.10617852,83370.013063541,150.83727904646,16.112519297755
0.6,27.092325054451,27.082936523378,0.32939758526161,0.42013888597695,0.071382435494918,707548.69756446,120144.44716005,139.32943590451,30.133120729939
0.7,27.087297982963,27.070936473662,0.50479695151267,0.55135117208892,0.091622730005739,928330.20170609,154203.59680661,125.83590807949,46.879027618567
0.8,27.092080139925,27.06692591858,0.69734229497776,0.68377468433719,0.10941744676557,1151233.832155,184156.87044374,123.90281002381,65.578935312149
0.9,27.107051700461,27.070746003894,0.90895178138749,0.82283085090903,0.12850732198266,1385465.7674863,216295.56175555,131.20568634493,86.435398713739
1,27.126744673984,27.075400418313,1.1449176461723,0.98014594249566,0.15276632434003,1650496.1018856,257135.78645098,139.56563945906,110.01156340893
1.1,27.136289253789,27.066219198665,1.3995764755272,1.1469715734937,0.17977562134842,1931091.3955947,302549.81338108,129.15589013382,135.77441038047
1.2,27.130895856102,27.042622836024,1.6543972249586,1.2886868045291,0.20119359028335,2168792.2653738,338518.82812179,107.79066477408,161.82602242014
1.3,27.124553774957,27.023654069776,1.8960268269901,1.3783209432916,0.21112360760575,2318923.4845978,355225.77465127,98.630877234196,186.73157385933
1.4,27.128423033536,27.020972052093,2.1259121127288,1.4222838464122,0.21227306433717,2392799.8100503,357175.88307511,99.063818405096,210.58513716629
1.5,27.13960679149,27.027976751836,2.3494964717701,1.4485160623822,0.21850645461886,2437202.9275897,367603.89278618,102.59881382698,233.93230433978
1.6,27.149191601744,27.032532309448,2.569412056974,1.480757871502,0.22567389916577,2491643.915035,379697.63171009,105.83889316496,257.04137492511
1.7,27.153661053147,27.030467503273,2.7883651652124,1.5225708890843,0.23213557889457,2561933.6339901,390578.24409493,105.98381433651,280.18878980469
1.8,27.15681386364,27.026879869698,3.0054181132468,1.5642396739394,0.24291750067262,2631879.4433576,408736.73529806,105.2542292913,303.26080818251
1.9,27.162259156559,27.026772175708,3.2186185135025,1.5976047477537,0.24960098243122,2687996.3392413,419977.18690375,105.9680612707,326.03288139942
2,27.168651087955,27.028551976721,3.4286072314973,1.6244567256152,0.25310159803867,2733271.696771,425885.47302087,107.66964831998,348.56527939896
