time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
0,0,0,0,0,0,0,0
0.1,27.006163618503,27.006148130641,0.016641750019971,0.0031699943135746,111957.58352901,21328.630973741,2.4898235669801
0.2,27.016447513183,27.016205145339,0.068348782645708,0.011362863620919,459900.43222011,76474.969628117,25.779147338028
0.3,27.023410914946,27.022452982921,0.13928484498878,0.020191166178963,937310.60681533,135913.08801856,91.802242146215
0.4,27.028990693153,27.027123656458,0.19319219681253,0.027994548518289,1300181.7727796,188371.10978579,214.7914915724
0.5,27.035652883309,27.033207421295,0.21939739481258,0.034883357753965,1476690.0547138,234741.53688206,414.00204537143
0.6,27.041137322253,27.038623607691,0.22087783431389,0.037041695851436,1486795.1705015,249290.34661033,724.90067931658
0.7,27.046004230915,27.043605057343,0.21243456530367,0.040675573643697,1430097.3219492,273816.47250784,1215.6749185086
0.8,27.052362321095,27.049884953394,0.21168314117622,0.050236576899932,1425199.4763828,338222.689703,1975.0378093493
0.9,27.059308482023,27.056391550017,0.22311114992026,0.057917951404948,1502332.2972759,389999.16590473,3087.7286440752
1,27.067153157039,27.063239080287,0.25555450789459,0.065806384387558,1721030.616541,443204.03662089,4648.7975367379
1.1,27.072833669208,27.067623187157,0.29308380276925,0.072705393517867,1973936.3280382,489754.57148602,6674.9309383809
1.2,27.078999021515,27.072747920037,0.31682996557082,0.077850743012187,2134052.5327695,524534.23875309,9118.1763416219
1.3,27.090734641071,27.083384666567,0.33424959676127,0.085769470672954,2251782.5941233,578049.57627675,11957.720202446
1.4,27.104346320845,27.095024880263,0.36550257435305,0.098494195042068,2462805.0700951,663985.39688565,15192.89503076
1.5,27.116836740016,27.10454438174,0.4114325342207,0.11125590114954,2772750.5897834,750231.56560868,18803.97087554
1.6,27.130544961236,27.114739001503,0.46346452882979,0.12176587216009,3123950.6134512,821338.86369035,22759.196628592
1.7,27.146317569104,27.126717779415,0.51788354573038,0.13416845034865,3491468.3695409,905251.77809329,27037.482385161
1.8,27.163072198735,27.139445203516,0.57283478518295,0.15139399821286,3862821.9518795,1021771.6216744,31637.324970608
1.9,27.181044426519,27.153108517588,0.62828530348237,0.17119701483719,4237808.1661406,1155753.5354211,36572.085215271
2,27.199805429632,27.16729188369,0.68098276320145,0.18984177093531,4594456.9716911,1281988.8504511,41847.67702048
