time,J_F_int,J_Fbar_int,ep_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int,psip_active_int
0,0,0,0,0,0,0,0,0,0
0.05,27.023130003507,27.022638660251,0,0.088361210364483,0.021384130815724,594619.27479017,143912.45671342,821.83341848644,-nan
0.1,27.046792291992,27.044949387267,0,0.17130107504825,0.040979774917005,1153221.8173789,275917.03537236,3248.3581920537,-nan
0.2,27.095012845048,27.088517359311,0,0.32221933746584,0.075340868428584,2170942.8697427,507725.74832765,12686.371414064,-nan
0.3,27.143537887882,27.130617006066,0,0.4550514548279,0.10408875618752,3068253.7206659,702056.6763574,27871.186720659,-nan
0.4,27.191615022767,27.171231599722,0,0.57222580205319,0.12810912815524,3861195.0940537,864766.45081094,48389.224721216,-nan
0.5,27.2387683563,27.210395644211,0,0.67544983619356,0.14816084690584,4561003.9679368,1000885.0858546,73860.304719994,-nan
0.6,27.284720982774,27.248178458236,0,0.76692699790087,0.16488212836725,5182321.9675294,1114651.9428947,103939.05156253,-nan
0.7,27.329335264975,27.284671091487,0,0.84984629960728,0.17993753342107,5746488.7170412,1215982.3124871,138314.42571514,-nan
0.75,27.351124430577,27.302465502307,0,0.88803961862458,0.18945521524954,6006710.3595424,1280669.3778143,157025.14443249,-nan
0.8,27.372568541277,27.319976474633,0,0.92405640558236,0.19862672043727,6252342.6823884,1343046.7964962,176708.06539682,-nan
0.85,27.393671862598,27.33721756929,0,0.95801011413976,0.20746704399977,6484137.1377725,1403213.5413309,197333.11569558,-nan
0.9,27.414441126529,27.354202327268,0,0.99000650989338,0.21599040209206,6702794.7455589,1461263.5444047,218871.95393129,-nan
0.95,27.434884999986,27.37094415913,0,1.0203301669842,0.22421027530212,6910230.2285283,1517285.9694899,241297.88425975,-nan
1,27.455013643476,27.387456256747,0,1.0491903950994,0.23213945627256,7107850.8148625,1571365.5151784,264585.77071259,-nan
1.05,27.474838345245,27.403751523483,0,1.0765340059803,0.23979009311301,7295283.8623712,1623582.6910043,288711.95277602,-nan
1.1,27.494371219464,27.419842520557,0,1.1023179642095,0.24717373318255,7472228.5188348,1674014.0975441,313654.16298129,-nan
1.15,27.513624958348,27.435741426762,0,1.1266156549293,0.25430136264036,7639172.6926277,1722732.6793071,339391.44704873,-nan
1.2,27.532612629103,27.45146000942,0,1.1494957446193,0.26118344451514,7796573.1778454,1769807.9689346,365904.08698811,-nan
1.25,27.551347508691,27.467009604646,0,1.1710225426094,0.26782995339341,7944858.0143729,1815306.3097726,393173.52741666,-nan
1.3,27.569842950016,27.482401105277,0,1.1913847364431,0.27425040731509,8085298.6041177,1859291.0607032,421182.30526454,-nan
1.35,27.588112274405,27.497644955479,0,1.2105311025584,0.28045389588349,8217542.004253,1901822.7764019,449913.98295446,-nan
1.4,27.60616868584,27.512751149929,0,1.2285384504446,0.2864491071758,8342102.9722719,1942959.3804711,479353.08507105,-nan
1.45,27.624025203392,27.52772923776,0,1.2455305173462,0.29224435006688,8459815.105564,1982756.3083675,509485.03850454,-nan
1.5,27.641694608512,27.542588329372,0,1.2614382787616,0.29784757529942,8570205.6803419,2021266.6426542,540296.11599618,-nan
1.55,27.659189405014,27.557337106278,0,1.2764934936153,0.3032663927348,8674841.4660033,2058541.2230768,571773.3829986,-nan
1.6,27.676521789176,27.571983832661,0,1.2912160104401,0.30850808816369,8777244.8403467,2094628.7543193,603904.64773995,-nan
1.65,27.693703628182,27.586536368552,0,1.3049984384991,0.31357963585813,8873294.3569206,2129575.8854471,636678.41436095,-nan
1.7,27.710746445597,27.601002184029,0,1.3178763586019,0.31848771120809,8963227.6159021,2163427.2904555,670083.8389945,-nan
1.75,27.727661412646,27.615388374454,0,1.3298834220169,0.32323870019122,9047269.3900093,2196225.7277821,704110.68865512,-nan
1.85,27.761150696365,27.643948480649,0,1.3514106436829,0.33229356715923,9198518.079852,2258825.4775283,773990.55728362,-nan
1.95,27.79425372667,27.672266548339,0,1.3700626469556,0.34078982772661,9330302.3649486,2317680.7117211,846246.97438278,-nan
2,27.810684566057,27.686349020152,0,1.3788195070477,0.34484157394059,9392362.7877321,2345791.946105,883246.2802366,-nan
