time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
0,0,0,0,0,0,0,0
0.1,27.008563103338,27.008551458931,0.014087693247494,0.0029505826758814,47390.706862294,9927.4251288609,2.3305365620436
0.2,27.026771792858,27.026583662471,0.059197998421438,0.01068532882773,199208.1096388,35971.718384197,26.048713922686
0.3,27.044032340412,27.043231389564,0.12650422570268,0.019233096062614,425821.85441268,64773.426547132,95.415150313301
0.4,27.05645063477,27.054740401515,0.18550772374893,0.026216519656555,624549.97820926,88234.223333876,222.84657032549
0.5,27.067369493375,27.064954454153,0.21814237101807,0.034364455067165,734536.55796959,115670.00685548,425.43810166786
0.6,27.078468478627,27.07589247831,0.22369950400521,0.037596060880716,753386.19241307,126569.13006254,736.19361513655
0.7,27.089459541477,27.087055430801,0.21337127666329,0.036988721477024,718754.8509085,124588.09629993,1218.169887819
0.8,27.100826576975,27.098416728037,0.20991047456831,0.047770341463977,707245.57770376,160946.45741191,1960.6552919731
0.9,27.113363136254,27.110568552676,0.21839502468162,0.057066842487188,736005.31262524,192322.07890612,3052.618326315
1,27.127923298123,27.124255404114,0.24595930510117,0.065108351001204,829131.68664347,219504.64299532,4586.511794215
1.1,27.138325095257,27.133463085468,0.28202023006085,0.071689687153934,950868.55126645,241777.51176932,6575.6716141219
1.2,27.14673789958,27.140858470089,0.30722803550925,0.076202392652678,1035990.5571592,257102.17221487,8977.8866261545
1.3,27.164160958027,27.157307118754,0.32316451048532,0.082295205388969,1090034.4903967,277809.15397985,11774.784504801
1.4,27.190528861482,27.181919098642,0.35135305648341,0.093812283368059,1185600.2164213,316858.32533967,14964.391935323
1.5,27.217699413382,27.2061677474,0.39737776595847,0.10793196849323,1341446.7060172,364753.62140979,18531.778709434
1.6,27.242326308422,27.227163870054,0.45265770425335,0.11994927909583,1528594.8954461,405604.35842393,22441.201450633
1.7,27.267018602261,27.24807177552,0.50827627051707,0.13082020918911,1717013.2965734,442602.98408299,26665.80591451
1.8,27.294525853151,27.271868357755,0.5609056290316,0.14478963326264,1895597.7236623,490128.26874961,31202.850337339
1.9,27.324931204035,27.298522995972,0.61138445989149,0.16305876620654,2067214.9395731,552273.99779467,36064.796629397
2,27.356741156163,27.326263519389,0.65904399005873,0.18257550873333,2229517.2025987,618708.57755937,41268.311236162
