time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
0,0,0,0,0,0,0,0
0.1,27.12090488643,27.12090045511,0.0082176475573604,0.0020176432554273,1384.9880095251,340.12346118244,35.00163493673
0.2,27.241986125786,27.241968373715,0.016435124955154,0.0040367768591839,2776.046755726,682.14474921978,139.98862410971
0.3,27.36324456476,27.363204562417,0.024652298568764,0.006057294045379,4173.1419737104,1026.0472480285,314.93475678827
0.4,27.4846810422,27.484609820118,0.032869035624784,0.0080790876076985,5576.239560174,1371.814131912,559.81470934137
0.5,27.606296388879,27.606184937808,0.041085204035841,0.010102049978895,6985.3055442963,1719.4283768819,874.60404908122
0.6,27.72809142741,27.727930698496,0.049300672397097,0.012126073302255,8400.3060858042,2068.8727708181,1259.2792375376
0.7,27.850066972149,27.849847877136,0.057515309987965,0.014151049502044,9821.2074739054,2420.1299236459,1713.817633184
0.8,27.972223829128,27.971937240568,0.065728986774188,0.016176870352497,11247.97612628,2773.182277452,2238.1974936365
0.9,28.094562795977,28.094199547472,0.073941573411055,0.018203427545319,12680.578588262,3128.0121165301,2832.3979773456
1,28.217084661866,28.216635548314,0.082152941247724,0.020230612755676,14118.981532221,3484.6015773487,3496.3991448014
1.1,28.339790207448,28.339245985313,0.090362962332603,0.022258317706755,15563.151757122,3842.9326584532,4230.1819592721
1.2,28.462680204774,28.462031592374,0.09857150942105,0.024286434235875,17013.056188494,4202.987230811,5033.7282870897
1.3,28.585755417376,28.58499309518,0.10677845598782,0.026314854341067,18468.661879296,4564.7470449543,5907.0208975263
1.4,28.709016600106,28.708131211059,0.11498367620149,0.02834347026475,19929.936004139,4928.1937446996,6850.0434622321
1.5,28.83246449908,28.831446648932,0.12318704497944,0.030372174534513,21396.845867463,5293.3088736215,7862.780554288
1.6,28.956099851784,28.954940109441,0.13138843797893,0.032400860023597,22869.358900803,5660.0738850884,8945.2176469102
1.7,29.079923386977,29.078612284868,0.13958773160104,0.034429420006771,24347.442662197,6028.4701516609,10097.341111765
1.8,29.20393582468,29.202463859134,0.14778480301439,0.036457748211474,25831.064839116,6398.4789738243,11319.138216956
1.9,29.32813787624,29.326495507882,0.15597953012807,0.038485738874427,27320.193242565,6770.0815897904,12610.597124705
2,29.452530244232,29.450707898391,0.16417179165382,0.040513286779789,28814.79581677,7143.2591822875,13971.706888679
